"filename", "language", "C++", "XML", "Python", "YAML", "Properties", "reStructuredText", "CMake", "ROS Message", "Markdown", "comment", "blank", "total"
"/home/nvidia/code/movebase_comment/teb_local_planner/include/teb_local_planner/timed_elastic_band.h", "C++", 125, 0, 0, 0, 0, 0, 0, 0, 0, 436, 99, 660
"/home/nvidia/code/movebase_comment/teb_local_planner/include/teb_local_planner/timed_elastic_band.hpp", "C++", 91, 0, 0, 0, 0, 0, 0, 0, 0, 71, 28, 190
"/home/nvidia/code/movebase_comment/teb_local_planner/include/teb_local_planner/visualization.h", "C++", 60, 0, 0, 0, 0, 0, 0, 0, 0, 176, 46, 282
"/home/nvidia/code/movebase_comment/teb_local_planner/include/teb_local_planner/visualization.hpp", "C++", 153, 0, 0, 0, 0, 0, 0, 0, 0, 47, 25, 225
"/home/nvidia/code/movebase_comment/teb_local_planner/launch/test_optim_node.launch", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 5, 11
"/home/nvidia/code/movebase_comment/teb_local_planner/msg/FeedbackMsg.msg", "ROS Message", 0, 0, 0, 0, 0, 0, 0, 4, 0, 5, 7, 16
"/home/nvidia/code/movebase_comment/teb_local_planner/msg/TrajectoryMsg.msg", "ROS Message", 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 4, 7
"/home/nvidia/code/movebase_comment/teb_local_planner/msg/TrajectoryPointMsg.msg", "ROS Message", 0, 0, 0, 0, 0, 0, 0, 4, 0, 9, 9, 22
"/home/nvidia/code/movebase_comment/teb_local_planner/package.xml", "XML", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 13, 57
"/home/nvidia/code/movebase_comment/teb_local_planner/scripts/cmd_vel_to_ackermann_drive.py", "Python", 0, 0, 39, 0, 0, 0, 0, 0, 0, 4, 23, 66
"/home/nvidia/code/movebase_comment/teb_local_planner/scripts/export_to_mat.py", "Python", 0, 0, 61, 0, 0, 0, 0, 0, 0, 21, 31, 113
"/home/nvidia/code/movebase_comment/teb_local_planner/scripts/export_to_svg.py", "Python", 0, 0, 124, 0, 0, 0, 0, 0, 0, 74, 47, 245
"/home/nvidia/code/movebase_comment/teb_local_planner/scripts/publish_dynamic_obstacle.py", "Python", 0, 0, 44, 0, 0, 0, 0, 0, 0, 5, 19, 68
"/home/nvidia/code/movebase_comment/teb_local_planner/scripts/publish_test_obstacles.py", "Python", 0, 0, 48, 0, 0, 0, 0, 0, 0, 9, 20, 77
"/home/nvidia/code/movebase_comment/teb_local_planner/scripts/publish_viapoints.py", "Python", 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 18, 47
"/home/nvidia/code/movebase_comment/teb_local_planner/scripts/visualize_velocity_profile.py", "Python", 0, 0, 50, 0, 0, 0, 0, 0, 0, 6, 21, 77
"/home/nvidia/code/movebase_comment/teb_local_planner/src/graph_search.cpp", "C++", 196, 0, 0, 0, 0, 0, 0, 0, 0, 89, 58, 343
"/home/nvidia/code/movebase_comment/teb_local_planner/src/homotopy_class_planner.cpp", "C++", 567, 0, 0, 0, 0, 0, 0, 0, 0, 165, 118, 850
"/home/nvidia/code/movebase_comment/teb_local_planner/src/obstacles.cpp", "C++", 130, 0, 0, 0, 0, 0, 0, 0, 0, 50, 35, 215
"/home/nvidia/code/movebase_comment/teb_local_planner/src/optimal_planner.cpp", "C++", 999, 0, 0, 0, 0, 0, 0, 0, 0, 127, 188, 1314
"/home/nvidia/code/movebase_comment/teb_local_planner/src/recovery_behaviors.cpp", "C++", 58, 0, 0, 0, 0, 0, 0, 0, 0, 41, 20, 119
"/home/nvidia/code/movebase_comment/teb_local_planner/src/teb_config.cpp", "C++", 285, 0, 0, 0, 0, 0, 0, 0, 0, 61, 50, 396
"/home/nvidia/code/movebase_comment/teb_local_planner/src/teb_local_planner_ros.cpp", "C++", 895, 0, 0, 0, 0, 0, 0, 0, 0, 155, 183, 1233
"/home/nvidia/code/movebase_comment/teb_local_planner/src/test_optim_node.cpp", "C++", 195, 0, 0, 0, 0, 0, 0, 0, 0, 81, 50, 326
"/home/nvidia/code/movebase_comment/teb_local_planner/src/timed_elastic_band.cpp", "C++", 464, 0, 0, 0, 0, 0, 0, 0, 0, 64, 107, 635
"/home/nvidia/code/movebase_comment/teb_local_planner/src/visualization.cpp", "C++", 375, 0, 0, 0, 0, 0, 0, 0, 0, 63, 80, 518
"/home/nvidia/code/movebase_comment/teb_local_planner/teb_local_planner_plugin.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/nvidia/code/movebase_comment/teb_local_planner/test/teb_basics.cpp", "C++", 56, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 73
"Total", "-", 8308, 61, 392, 183, 307, 349, 198, 10, 36, 6221, 3003, 19068
